station,pollutant,date,day_mean,validity
FR01006,O3,2003/01/26,22,1
FR01006,O3,2003/01/27,16,1
FR01006,O3,2003/01/28,43,1
FR01006,O3,2003/01/29,39,1
FR01006,O3,2003/01/30,38,1
FR01006,O3,2003/01/31,-999,-1
FR01006,O3,2003/02/01,19,1
FR01006,O3,2003/02/02,33,1
FR01006,O3,2003/02/03,41,1
FR01006,O3,2003/02/04,29,1
FR01006,O3,2003/02/05,29,1
FR01006,O3,2003/02/06,20,1
FR01006,O3,2003/02/07,22,1
FR01006,O3,2003/02/08,11,1
FR01006,O3,2003/02/09,10,1
FR01006,O3,2003/02/10,10,1
FR01006,O3,2003/02/11,5,1
FR01006,O3,2003/02/12,15,1
FR01006,O3,2003/02/13,17,1
FR01006,O3,2003/02/14,18,1
FR01006,O3,2003/02/15,30,1
FR01006,O3,2003/02/16,39,1
FR01006,O3,2003/02/17,28,1
FR01006,O3,2003/02/18,22,1
FR01006,O3,2003/02/19,22,1
FR01006,O3,2003/02/20,16,1
FR01006,O3,2003/02/21,10,1
FR01006,O3,2003/02/22,12,1
FR01006,O3,2003/02/23,17,1
FR01006,O3,2003/02/24,19,1
FR01006,O3,2003/02/25,14,1
FR01006,O3,2003/02/26,13,1
FR01006,O3,2003/02/27,8,1
FR01006,O3,2003/02/28,11,1
FR01006,O3,2003/03/01,21,1
FR01006,O3,2003/03/02,42,1
FR01006,O3,2003/03/03,28,1
FR01006,O3,2003/03/04,16,1
FR01006,O3,2003/03/05,11,1
FR01006,O3,2003/03/06,14,1
FR01006,O3,2003/03/07,13,1
FR01006,O3,2003/03/08,44,1
FR01006,O3,2003/03/09,43,1
FR01006,O3,2003/03/10,29,1
FR01006,O3,2003/03/11,38,1
FR01006,O3,2003/03/12,35,1
FR01006,O3,2003/03/13,-999,-1
FR01006,O3,2003/03/14,46,1
FR01006,O3,2003/03/15,52,1
FR01006,O3,2003/03/16,54,1
FR01006,O3,2003/03/17,31,1
FR01006,O3,2003/03/18,36,1
FR01006,O3,2003/03/19,27,1
FR01006,O3,2003/03/20,16,1
FR01006,O3,2003/03/21,25,1
FR01006,O3,2003/03/22,37,1
FR01006,O3,2003/03/23,37,1
FR01006,O3,2003/03/24,33,1
FR01006,O3,2003/03/25,41,1
FR01006,O3,2003/03/26,42,1
FR01006,O3,2003/03/27,33,1
FR01006,O3,2003/03/28,33,1
FR01006,O3,2003/03/29,38,1
FR01006,O3,2003/03/30,44,1
FR01006,O3,2003/03/31,52,1
FR01006,O3,2003/04/01,53,1
FR01006,O3,2003/04/02,57,1
FR01006,O3,2003/04/03,53,1
FR01006,O3,2003/04/04,44,1
FR01006,O3,2003/04/05,58,1
FR01006,O3,2003/04/06,73,1
FR01006,O3,2003/04/07,47,1
FR01006,O3,2003/04/08,36,1
FR01006,O3,2003/04/09,44,1
FR01006,O3,2003/04/10,41,1
FR01006,O3,2003/04/11,35,1
FR01006,O3,2003/04/12,24,1
FR01006,O3,2003/04/13,54,1
FR01006,O3,2003/04/14,73,1
FR01006,O3,2003/04/15,63,1
FR01006,O3,2003/04/16,73,1
FR01006,O3,2003/04/17,70,1
FR01006,O3,2003/04/18,88,1
FR01006,O3,2003/04/19,54,1
FR01006,O3,2003/04/20,52,1
FR01006,O3,2003/04/21,58,1
FR01006,O3,2003/04/22,63,1
FR01006,O3,2003/04/23,65,1
FR01006,O3,2003/04/24,60,1
FR01006,O3,2003/04/25,62,1
FR01006,O3,2003/04/26,61,1
FR01006,O3,2003/04/27,73,1
FR01006,O3,2003/04/28,54,1
FR01006,O3,2003/04/29,50,1
FR01006,O3,2003/04/30,39,1
FR01006,O3,2003/05/01,63,1
FR01006,O3,2003/05/02,51,1
FR01006,O3,2003/05/03,69,1
FR01006,O3,2003/05/04,49,1
FR01006,O3,2003/05/05,51,1
FR01006,O3,2003/05/06,49,1
FR01006,O3,2003/05/07,57,1
FR01006,O3,2003/05/08,61,1
FR01006,O3,2003/05/09,61,1
FR01006,O3,2003/05/10,71,1
FR01006,O3,2003/05/11,58,1
FR01006,O3,2003/05/12,65,1
FR01006,O3,2003/05/13,73,1
FR01006,O3,2003/05/14,59,1
FR01006,O3,2003/05/15,43,1
FR01006,O3,2003/05/16,58,1
FR01006,O3,2003/05/17,57,1
FR01006,O3,2003/05/18,49,1
FR01006,O3,2003/05/19,47,1
FR01006,O3,2003/05/20,72,1
FR01006,O3,2003/05/21,63,1
FR01006,O3,2003/05/22,32,1
FR01006,O3,2003/05/23,48,1
FR01006,O3,2003/05/24,54,1
FR01006,O3,2003/05/25,57,1
FR01006,O3,2003/05/26,57,1
FR01006,O3,2003/05/27,74,1
FR01006,O3,2003/05/28,78,1
FR01006,O3,2003/05/29,73,1
FR01006,O3,2003/05/30,64,1
FR01006,O3,2003/05/31,64,1
FR01006,O3,2003/06/01,83,1
FR01006,O3,2003/06/02,42,1
FR01006,O3,2003/06/03,41,1
FR01006,O3,2003/06/04,57,1
FR01006,O3,2003/06/05,54,1
FR01006,O3,2003/06/06,49,1
FR01006,O3,2003/06/07,52,1
FR01006,O3,2003/06/08,53,1
FR01006,O3,2003/06/09,60,1
FR01006,O3,2003/06/10,56,1
FR01006,O3,2003/06/11,60,1
FR01006,O3,2003/06/12,59,1
FR01006,O3,2003/06/13,73,1
FR01006,O3,2003/06/14,67,1
FR01006,O3,2003/06/15,74,1
FR01006,O3,2003/06/16,93,1
FR01006,O3,2003/06/17,81,1
FR01006,O3,2003/06/18,71,1
FR01006,O3,2003/06/19,42,1
FR01006,O3,2003/06/20,63,1
FR01006,O3,2003/06/21,72,1
FR01006,O3,2003/06/22,71,1
FR01006,O3,2003/06/23,71,1
FR01006,O3,2003/06/24,65,1
FR01006,O3,2003/06/25,80,1
FR01006,O3,2003/06/26,90,1
FR01006,O3,2003/06/27,62,1
FR01006,O3,2003/06/28,68,1
FR01006,O3,2003/06/29,75,1
FR01006,O3,2003/06/30,63,1
FR01006,O3,2003/07/01,56,1
FR01006,O3,2003/07/02,50,1
FR01006,O3,2003/07/03,54,1
FR01006,O3,2003/07/04,55,1
FR01006,O3,2003/07/05,64,1
FR01006,O3,2003/07/06,64,1
FR01006,O3,2003/07/07,68,1
FR01006,O3,2003/07/08,69,1
FR01006,O3,2003/07/09,71,1
FR01006,O3,2003/07/10,58,1
FR01006,O3,2003/07/11,75,1
FR01006,O3,2003/07/12,73,1
FR01006,O3,2003/07/13,87,1
FR01006,O3,2003/07/14,82,1
FR01006,O3,2003/07/15,101,1
FR01006,O3,2003/07/16,71,1
FR01006,O3,2003/07/17,50,1
FR01006,O3,2003/07/18,54,1
FR01006,O3,2003/07/19,79,1
FR01006,O3,2003/07/20,86,1
FR01006,O3,2003/07/21,65,1
FR01006,O3,2003/07/22,48,1
FR01006,O3,2003/07/23,62,1
FR01006,O3,2003/07/24,54,1
FR01006,O3,2003/07/25,57,1
FR01006,O3,2003/07/26,37,1
FR01006,O3,2003/07/27,34,1
FR01006,O3,2003/07/28,45,1
FR01006,O3,2003/07/29,55,1
FR01006,O3,2003/07/30,19,1
FR01006,O3,2003/07/31,47,1
FR01006,O3,2003/08/01,78,1
FR01006,O3,2003/08/02,108,1
FR01006,O3,2003/08/03,130,1
FR01006,O3,2003/08/04,136,1
FR01006,O3,2003/08/05,128,1
FR01006,O3,2003/08/06,99,1
FR01006,O3,2003/08/07,71,1
FR01006,O3,2003/08/08,81,1
FR01006,O3,2003/08/09,73,1
FR01006,O3,2003/08/10,104,1
FR01006,O3,2003/08/11,111,1
FR01006,O3,2003/08/12,93,1
FR01006,O3,2003/08/13,99,1
FR01006,O3,2003/08/14,91,1
FR01006,O3,2003/08/15,78,1
FR01006,O3,2003/08/16,100,1
FR01006,O3,2003/08/17,81,1
FR01006,O3,2003/08/18,42,1
